a,价格,涨幅,代码,1上0深,名称,上市日期,b,纯债价值,昨日收盘价,股价,股票涨幅,c,股票代码,上深,股票,转股价,转股价值,转股溢价率,纯债溢价率,回售触发价,强赎触发价,到期赎回价,转股日,申购日期,差
3,128.61,1.43,127052,0,西子转债,20220124,2,94.9491,18.57,18.46,-0.59,2,002534,0,西子洁能,18.8,98.1915,30.98,35.45,13.16,24.44,110.0,20220630,20211224,2.02
3,209.058,-3.3,123148,0,上能转债,20220701,2,95.2067,67.66,64.05,-5.34,2,300827,0,上能电气,36.31,176.3977,18.52,119.58,25.42,47.2,112.0,20221220,20220614,2.04
3,143.661,-3.69,128069,0,华森转债,20190711,2,109.1442,27.54,25.94,-5.81,2,002907,0,华森制药,17.97,144.3517,-0.48,31.62,12.58,23.36,115.0,20191230,20190624,2.12
3,117.884,0.75,110079,1,杭银转债,20210423,2,95.5809,12.33,12.16,-1.38,2,600926,1,杭州银行,12.64,96.2816,22.44,23.33,-,16.43,108.0,20211008,20210329,2.13
3,208.197,1.07,128091,0,新天转债,20200117,2,107.4879,16.1,15.92,-1.12,2,002873,0,新天药业,8.21,193.9099,7.37,93.69,5.75,10.67,113.0,20200706,20191230,2.19
3,124.404,1.48,123091,0,长海转债,20210115,2,100.0787,14.91,14.8,-0.74,2,300196,0,长海股份,15.99,92.5578,34.41,24.31,11.19,20.79,111.0,20210629,20201223,2.22
3,126.002,0.93,111003,1,聚合转债,20220419,2,98.8716,12.97,12.8,-1.31,2,605166,1,聚合顺,14.42,88.7656,41.95,27.44,10.09,18.75,115.0,20220913,20220307,2.24
3,108.827,0.3,113608,1,威派转债,20201127,2,105.2575,8.07,7.91,-1.98,2,603956,1,威派格,17.72,44.6388,143.79,3.39,12.4,23.04,115.0,20210513,20201109,2.28
3,191.51,0.16,127038,0,国微转债,20210714,2,96.4787,161.08,157.67,-2.12,2,002049,0,紫光国微,98.18,160.5928,19.25,98.5,68.73,127.63,110.0,20211217,20210610,2.28
3,118.763,1.52,113055,1,成银转债,20220406,2,90.7968,13.54,13.43,-0.81,2,601838,1,成都银行,13.9,96.6187,22.92,30.8,-,18.07,107.0,20220909,20220303,2.33
3,120.003,2.16,113579,1,健友转债,20200522,2,100.9466,17.09,17.05,-0.23,2,603707,1,健友股份,24.65,69.1684,73.49,18.88,17.26,32.05,109.0,20201029,20200423,2.39
3,143.868,3.73,113504,1,艾华转债,20180323,2,104.0763,24.66,24.99,1.34,2,603989,1,艾华集团,20.51,121.843,18.08,38.23,14.36,26.66,106.0,20180910,20180302,2.39
3,111.58,1.67,110081,1,闻泰转债,20210820,2,93.7693,50.95,50.45,-0.98,2,600745,1,闻泰科技,96.49,52.2852,113.41,18.99,67.54,125.44,108.0,20220207,20210728,2.65
3,146.556,0.89,113621,1,彤程转债,20210222,2,98.6631,35.55,34.83,-2.03,2,603650,1,彤程新材,32.53,107.0704,36.88,48.54,22.77,42.29,110.0,20210802,20210126,2.92
3,254.138,-0.73,128041,0,盛路转债,20180814,2,106.5494,11.03,10.62,-3.72,2,002446,0,盛路通信,6.82,155.7185,63.2,138.52,4.77,8.87,110.0,20190123,20180717,2.99
3,140.855,0.91,128015,0,久其转债,20170627,2,106.5846,7.18,7.03,-2.09,2,002279,0,久其软件,5.0,140.6,0.18,32.15,3.5,6.5,108.0,20171215,20170608,3.0
3,115.9,1.21,123104,0,卫宁转债,20210331,2,106.5222,9.69,9.51,-1.86,2,300253,0,卫宁健康,17.72,53.6682,115.96,8.8,12.4,23.04,120.0,20210922,20210316,3.07
3,117.919,-0.63,113050,1,南银转债,20210701,2,93.6293,10.34,9.94,-3.87,2,601009,1,南京银行,9.64,103.112,14.36,25.94,-,12.53,107.0,20211221,20210615,3.24
3,96.467,-0.14,113596,1,城地转债,20200820,2,98.9881,7.54,7.28,-3.45,2,603887,1,城地香江,24.26,30.0082,221.47,-2.55,16.98,31.54,108.0,20210204,20200728,3.31
3,199.17,6.69,113585,1,寿仙转债,20200707,2,103.1496,35.61,36.8,3.34,2,603896,1,寿仙谷,21.64,170.0555,17.12,93.09,15.15,28.13,112.0,20201215,20200609,3.35
